"","PROJECT_NUMBER","NEPA_NAME","REGION","NEPA_STATUS","INIT_DATE","DECISION_DATE","NEPA_TYPE","APPEALED","LITIGATED","ELAPSED_DAYS","DECISION_LEVEL","plan.date.min","plan.date.max","comp.date.min","comp.date.max","num.units.plan","num.units.comp","med.time.lag","th","hf","rf","tsi","completed","act.count","proj.dur.plan","proj.dur.comp","proj.delay","COMPLETED","INITIATED","max_date","max.delay","YP","size"
"1484",31526,"Iron Springs Vegetation Improvement and Salvage Project","4","Complete","5/5/10","11/29/12","EA","1","0",939,"Ranger District/Mgt Unit","2012-11-29","2018-07-02","2013-09-25",NA,4781,4585,592,0.481481481481481,0.518518518518518,0,0,0.37962962962963,108,2042,NA,300,0,1,"2018-12-31",2223,2012,"x-large"
"1485",37386,"Sawyer Point Vegetation Treatment","4","Complete","4/25/14","7/23/15","EA","0","0",454,"Ranger District/Mgt Unit","2015-07-23","2015-07-25","2016-08-31","2018-11-30",2213,2213,855,0,1,0,0,1,6,3,822,405,1,1,"2018-12-31",1257,2015,"large"
"1486",10346,"Boulder Town Fire Protection","4","Complete","3/17/06","12/5/06","CE","1","0",263,"Ranger District/Mgt Unit","2007-10-01","2007-10-01","2008-02-27","2008-02-27",68,68,149,0,1,0,0,1,1,1,1,149,1,1,"2018-12-31",4109,2007,"small"
"1487",11424,"Farwest and Old Irontown Fuel Break","4","Complete","6/13/05","8/5/05","CE","0","0",53,"Ranger District/Mgt Unit","2006-10-01","2008-03-24","2007-03-28","2009-06-24",1802,1441,243,0,1,0,0,1,7,541,820,178,1,1,"2018-12-31",4474,2006,"large"
"1488",26423,"Paunsaugunt Vegetation Management","4","Complete","8/30/11","5/22/12","EA","1","0",266,"Ranger District/Mgt Unit","2013-07-31","2018-02-06","2015-03-18",NA,4123,4512.1,699,0.45360824742268,0.144329896907216,0.402061855670103,0,0.845360824742268,97,1652,NA,595,0,1,"2018-12-31",1979,2013,"x-large"
"1489",39460,"Reed Valley Vegetation Management","4","Complete","12/14/12","6/5/13","EA","0","0",173,"Ranger District/Mgt Unit","2017-07-20","2017-07-20",NA,NA,983,983,NA,0.72,0,0.28,0,0,25,1,NA,529,0,0,"2018-12-31",529,2017,"large"
"1490",9940,"Ahlstrom Hollow Timber Stand Improvement (TSI)","4","Complete","10/19/05","1/27/06","CE","0","0",100,"Ranger District/Mgt Unit","2006-06-01","2018-05-08","2006-08-01",NA,4171,4006,0.5,0,0.733333333333333,0.2,0.0666666666666667,0.933333333333333,15,4360,NA,61,0,1,"2018-12-31",4596,2006,"x-large"
"1491",13392,"Sevier Plateau sagebrush restoration","4","Complete","2/9/06","8/29/06","CE","0","0",201,"Ranger District/Mgt Unit","2006-11-01","2006-11-01","2007-08-07","2007-08-07",516,516,279,0,1,0,0,1,1,1,1,279,1,1,"2018-12-31",4443,2006,"medium"
"1492",41383,"Shingle Fire Salvage and Restoration","4","Complete","2/26/13","9/26/13","EA","1","0",212,"Ranger District/Mgt Unit","2014-06-02","2018-04-26","2015-04-03",NA,1926.7,1926.7,6,0.2,0,0.8,0,0.8,5,1425,NA,305,0,1,"2018-12-31",1673,2014,"large"
"1493",14501,"Dipping Vat Habitat Improvement Project","4","Complete","5/30/08","3/3/09","CE","0","0",277,"Ranger District/Mgt Unit","2008-10-01","2013-12-13","2009-09-26","2013-12-13",1158,1142,243,0,1,0,0,1,11,1900,1540,360,1,1,"2018-12-31",3743,2008,"large"
"1494",30440,"Sawmill Point Aspen Improvement Project","4","Complete","10/28/09","4/12/10","CE","0","0",166,"Ranger District/Mgt Unit","2010-01-15","2010-08-23","2010-08-23",NA,1832,1832,6,0.25,0.5,0,0.25,0.75,8,221,NA,220,0,1,"2018-12-31",3272,2010,"large"
